好评分词,好评词频,中评分词,中评词频,差评分词,差评词频
各个方面,1.0,导航,1,称赞,1.0
双重,1.0,坑,1,无外乎,1.0
肯定,1.0,东方明珠,1,自黑,1.0
肉眼,1.0,好久,1,国人,1.0
假以时日,1.0,环球,1,匮乏,1.0
追上,1.0,金融中心,1,影评,1.0
追求,1.0,一晚,1,不难看出,1.0
共鸣,1.0,drops,1,展望,1.0
努力做到,1.0,of,1,浩瀚,1.0
很俗,1.0,Jupiter,1,网络,1.0
8.8,1.0,俄语,1,流行,1.0
热评,1.0,有加,1,段子,1.0
高分,1.0,带来,1,转折,1.0
非,1.0,加加林,1,迷幻,1.0
水平线上,1.0,火箭,1,主旋律,1.0
武士,1.0,在外,1,好像,1.0
顾及,1.0,懵,1,超纲,1.0
时代,1.0,代表,1,苛责,1.0
时间轴,1.0,越来越,1,春节,1.0
想法,1.0,high,1,气氛,1.0
阻碍,1.0,程度,1,渲染,1.0
难以,1.0,过头,1,该片,1.0
评论,1.0,说到底,1,顺利,1.0
寸步难行,1.0,世界末日,1,摘下,1.0
影响,1.0,表面,1,巨作,1.0
明白,1.0,made,1,标签,1.0
历史,1.0,in,1,仔细,1.0
期间,1.0,china,1,想一想,1.0
烟花,1.0,中国芯,1,战狼站,1.0
爸,1.0,面子,1,呼唤,1.0
爆炸,1.0,搭建,1,两段,1.0
多一星,1.0,唤询,1,这特,1.0
节点,1.0,言,1,剧情片,1.0
同行,1.0,此片,1,吸引,1.0
优秀学生,1.0,时间,1,特质,1.0
之处,1.0,交错,1,冷酷,1.0
先行者,1.0,剪,1,请问,1.0
新生代,1.0,晕,1,配角,1.0
分辨,1.0,故事情节,1,一言不合,1.0
并用,1.0,组,1,疯狂,1.0
十二分,1.0,接到,1,飙戏,1.0
力气,1.0,主题,1,中途,1.0
看重,1.0,学习,1,入场,1.0
一丝,1.0,明明,1,撞见,1.0
往好,1.0,部,1,神探,1.0
执拗,1.0,褪去,1,蒲,1.0
赤诚,1.0,混,1,松林,1.0
称得上,1.0,朴素,1,三体,1.0
负载,1.0,cosmopolitan,1,扑街,1.0
沉重,1.0,深情,1,百度,1.0
烙印,1.0,广播,1,百科,1.0
元气,1.0,动员,1,所说,1.0
淋漓,1.0,神力,1,意,1.0
击节,1.0,用知,1,事物,1.0
那颗,1.0,嘲笑,1,事件,1.0
驱动,1.0,工具,1,时间,1.0
淡蓝色,1.0,智慧,1,推进,1.0
小球,1.0,预测,1,主旨,1.0
茫茫,1.0,粗浅,1,串连,1.0
星辰,1.0,粗糙,1,调用,1.0
大海,1.0,毛边,1,能力,1.0
心脏,1.0,疑问,1,技巧,1.0
狠狠,1.0,迎来,1,配得,1.0
扎,1.0,终结,1,称号,1.0
一针,1.0,入门,1,视觉效果,1.0
强心剂,1.0,n,1,成熟,1.0
走出,1.0,经典电影,1,初生,1.0
恍若隔世,1.0,这类,1,说话,1.0
做梦,1.0,影院,1,走路,1.0
定会,1.0,起立,1,眼中,1.0
写进,1.0,鼓掌,1,扁平,1.0
影史,1.0,事实上,1,驳杂,1.0
幻影,1.0,国人,1,新鲜感,1.0
进程,1.0,历史剧,1,只不过,1.0
杰作,1.0,长期,1,轻薄,1.0
庆幸,1.0,沁润下,1,模糊,1.0
见证者,1.0,建立,1,实质性,1.0
此刻,1.0,天地,1,成长,1.0
手中,1.0,上行,1,镇痛,1.0
张,1.0,紧凑,1,之外,1.0
电影票,1.0,层层,1,磨炼,1.0
入场券,1.0,展开,1,软,1.0
亲历,1.0,穿插,1,拿出,1.0
奇迹,1.0,回忆,1,一副,1.0
勋章,1.0,意料之中,1,腔调,1.0
imax,1.0,坍塌,1,受不了,1.0
电脑,1.0,光环,1,作精,1.0
花,1.0,小孩,1,兄妹,1.0
六块钱,1.0,脑袋,1,扣,1.0
两遍,1.0,逃离,1,两分,1.0
西安,1.0,引力,1,没什么,1.0
零点,1.0,难以,1,意见,1.0
上座率,1.0,说服,1,bug,1.0
极高,1.0,渺小,1,ok,1.0
隔壁,1.0,撼动,1,略晃,1.0
结束,1.0,轨迹,1,3d,1.0
那一刻,1.0,相当于,1,晕,1.0
名字,1.0,蚂蚁,1,感太强,1.0
大叫,1.0,大象,1,减分,1.0
一声,1.0,举起,1,混战,1.0
第三次,1.0,难度,1,风声,1.0
星战,1.0,杯水车薪,1,回来,1.0
延续,1.0,点名,1,打个,1.0
系列,1.0,几处,1,不算,1.0
抵达,1.0,基因,1,每场,1.0
人马座,1.0,遗传,1,看不懂,1.0
阿尔法,1.0,前卫,1,前因后果,1.0
冰,1.0,21,1,演些,1.0
融化,1.0,世纪,1,卡梅隆,1.0
成水,1.0,当代,1,客套,1.0
孩子,1.0,标配,1,夸赞,1.0
畔,1.0,多媒体,1,几句,1.0
钓鱼,1.0,设备,1,机会,1.0
一代人,1.0,每一处,1,拜个,1.0
垂垂老矣,1.0,忘记,1,师,1.0
默默,1.0,优秀,1,煽到,1.0
流泪,1.0,佳作,1,本来,1.0
年轻人,1.0,取胜,1,忽略,1.0
爱上,1.0,尿点,1,有没有,1.0
有人,1.0,表,1,分镜,1.0
较真儿,1.0,啥时候,1,几组,1.0
不过尔尔,1.0,文学,1,干嘛,1.0
尊敬,1.0,打个,1,太大,1.0
两只,1.0,零分,1,切换,1.0
眼睛,1.0,魅力,1,年初一,1.0
关注,1.0,燃点,1,华谊,1.0
眺望,1.0,不燃,1,战狼版,1.0
长路,1.0,泪点,1,白鹤,1.0
总得,1.0,无泪,1,四弟,1.0
看得远,1.0,拼,1,减一星,1.0
愚公移山,1.0,尽全力,1,真实,1.0
坏,1.0,打了个,1,差点,1.0
荒芜,1.0,架构,1,😓,1.0
百废待兴,1.0,奇观,1,京,1.0
决心,1.0,开荒,1,味十足,1.0
赢得,1.0,之作,1,北京,1.0
尊重,1.0,建構,1,对不起,1.0
明天,1.0,看得出,1,任重而道远,1.0
昨天,1.0,卻,1,受过,1.0
那段,1.0,處理,1,训练,1.0
缺乏,1.0,欠佳,1,小屁孩,1.0
谈论,1.0,這麼,1,顶,1.0
200,1.0,群戲,1,光环,1.0
波士顿,1.0,數人,1,叫嚣,1.0
坐满,1.0,casting,1,哥是,1.0
集体,1.0,記,1,天才,1.0
鼓掌,1.0,不住,1,说姐,1.0
巨燃,1.0,年輕,1,上辈子,1.0
全程无,1.0,更是,1,,
尿点,1.0,雪上加霜,1,,
满分,1.0,讓,1,,
豆瓣,1.0,人覺,1,,
灵魂,1.0,面目,1,,
黑夜,1.0,吳孟達,1,,
第三幕,1.0,電梯,1,,
高潮迭起,1.0,那場戲,1,,
层层,1.0,混亂,1,,
堆叠,1.0,這部戲,1,,
美学,1.0,工業,1,,
更扣,1.0,意義,1,,
档期,1.0,鼓勵,1,,
五棵松,1.0,題材,1,,
耀莱,1.0,創作,1,,
影城,1.0,技術,1,,
杜比,1.0,提升,1,,
厅,1.0,技術並,1,,
开创,1.0,敘事,1,,
几年,1.0,基礎,1,,
大作,1.0,對,1,,
深知,1.0,這個,1,,
搬,1.0,好感,1,,
上银幕,1.0,演講,1,,
年轻,1.0,戰狼,1,,
王红卫,1.0,後,1,,
策划,1.0,幾乎,1,,
带领,1.0,殆盡,1,,
干得,1.0,這樣,1,,
漂亮,1.0,普世,1,,
40,1.0,命題,1,,
亿,1.0,面前,1,,
艺术片,1.0,沒,1,,
通俗,1.0,矮化,1,,
不凡,1.0,老外,1,,
艺术,1.0,全世界,1,,
才华,1.0,獨把,1,,
技巧,1.0,中國人,1,,
巨额,1.0,塑造成,1,,
资金投入,1.0,懂得,1,,
高科技,1.0,捨,1,,
更大,1.0,生取,1,,
春节假期,1.0,義的,1,,
电影节,1.0,孤膽,1,,
斩获,1.0,能少,1,,
奖项,1.0,借家國情,1,,
好评,1.0,懷帶,1,,
地久天长,1.0,煽動,1,,
恐龙蛋,1.0,提防,1,,
一秒钟,1.0,民族,1,,
文艺片,1.0,主義的,1,,
冠亚军,1.0,情緒,1,,
外星人,1.0,輸出,1,,
电影学院,1.0,那才,1,,
专业,1.0,自信,1,,
毕业生,1.0,表現,1,,
祝贺,1.0,時中國,1,,
成功,1.0,中國,1,,
母校,1.0,會,1,,
打过,1.0,變得,1,,
接轨,1.0,共勉,1,,
21,1.0,宇航员,1,,
数一数二,1.0,开着,1,,
忽略,1.0,频道,1,,
半程,1.0,阻塞,1,,
炸,1.0,视觉效果,1,,
牌,1.0,突兀,1,,
足,1.0,赌,1,,
戏份,1.0,算不上,1,,
关键点,1.0,肾上腺,1,,
煽,1.0,爆棚,1,,
恰到好处,1.0,半路,1,,
忘掉,1.0,解散,1,,
但绝,1.0,灭亡,1,,
不亚于,1.0,坏事,1,,
高二看,1.0,倒,1,,
脑补,1.0,办法,1,,
放映厅,1.0,抛,1,,
60%,1.0,逃,1,,
单身,1.0,翘课,1,,
宅,1.0,学生,1,,
男,1.0,灵机一动,1,,
半小时,1.0,解决,1,,
整排,1.0,倒像,1,,
它绝,1.0,讽刺,1,,
限于,1.0,用处,1,,
水平,1.0,喊,1,,
逊色,1.0,小农经济,1,,
闪闪发光,1.0,假想敌,1,,
长久,1.0,处,1,,
传扬,1.0,制造,1,,
铭记,1.0,间,1,,
迷们,1.0,区别,1,,
一生,1.0,自有,1,,
大笑,1.0,尊严,1,,
忘却,1.0,各式各样,1,,
满脑子,1.0,手中,1,,
破音,1.0,取回,1,,
费钱,1.0,赞,1,,
投资人,1.0,翻开,1,,
老百姓,1.0,新篇章,1,,
总想,1.0,持,1,,
票,1.0,保留意见,1,,
好几十,1.0,大部分,1,,
饭钱,1.0,立得,1,,
燃到,1.0,动机,1,,
飙泪,1.0,背景,1,,
路,1.0,驱动,1,,
幻,1.0,可言,1,,
电,1.0,非常明显,1,,
中国男足,1.0,作用,1,,
不多,1.0,生死,1,,
远高于,1.0,特意,1,,
单薄,1.0,淡化,1,,
通病,1.0,英雄主义,1,,
平,1.0,金手指,1,,
导致,1.0,WJ,1,,
燃点,1.0,出舱,1,,
没炸响,1.0,崩盘,1,,
给力,1.0,不用,1,,
首部,1.0,共情,1,,
风格,1.0,赞同,1,,
基调,1.0,评论,1,,
大气,1.0,硬要,1,,
美工,1.0,以此,1,,
考究,1.0,开端,1,,
门槛,1.0,符合国情,1,,
拉,1.0,许可,1,,
口碑,1.0,幻想,1,,
双丰收,1.0,大前提,1,,
有感于,1.0,家园,1,,
特打,1.0,家球,1,,
予以,1.0,差强人意,1,,
内部,1.0,调动,1,,
神经,1.0,过誉,1,,
切出来,1.0,捧杀,1,,
三问,1.0,调低,1,,
狗,1.0,是非,1,,
亚裔,1.0,蠢即,1,,
美帝,1.0,坏,1,,
种族歧视,1.0,放开,1,,
天宫,1.0,市场,1,,
发射,1.0,劝,1,,
宇航,1.0,善良,1,,
大国,1.0,能为,1,,
空间站,1.0,流泪,1,,
建立,1.0,刻意,1,,
之初,1.0,用力,1,,
打打气,1.0,过猛,1,,
稍微,1.0,高考,1,,
自恋,1.0,满分,1,,
小女孩,1.0,有没有,1,,
败笔,1.0,赶上,1,,
小演员,1.0,关心,1,,
功底,1.0,意识,1,,
成问题,1.0,差距,1,,
实属,1.0,肉眼,1,,
辽阔,1.0,重写,1,,
感人,1.0,一遍,1,,
幸得,1.0,战狼式,1,,
之福,1.0,扳,1,,
大灾难,1.0,关上门,1,,
情,1.0,也许,1,,
信念,1.0,自我,1,,
永恒,1.0,门,1,,
精髓,1.0,控力,1,,
最有,1.0,杨皓宇,1,,
一步,1.0,拔线,1,,
监制,1.0,抽烟,1,,
试图,1.0,近十年,1,,
假设,1.0,可看,1,,
异常,1.0,毁灭,1,,
环境,1.0,丧货,1,,
做出,1.0,太小,1,,
取舍,1.0,胸怀,1,,
将来,1.0,老生常谈,1,,
大人,1.0,露怯,1,,
小孩,1.0,值得称赞,1,,
单个,1.0,画林,1,,
族群,1.0,家,1,,
情况,1.0,公司,1,,
依赖,1.0,线索,1,,
奉献,1.0,交待,1,,
英雄主义,1.0,tm,1,,
不惜一切,1.0,无厘头,1,,
代价,1.0,讲下去,1,,
神风,1.0,酝酿,1,,
舍弃,1.0,属,1,,
妻子,1.0,最尬,1,,
生存权,1.0,大陆,1,,
遭遇,1.0,差成,1,,
不小,1.0,鲜肉,1,,
代际,1.0,要能,1,,
冲突,1.0,换个,1,,
涉及,1.0,属性,1,,
味儿,1.0,爹,1,,
集体主义,1.0,值,1,,
味道,1.0,含,1,,
社达味,1.0,有库,1,,
百分,1.0,布里克,1,,
五百,1.0,1968,1,,
拍成,1.0,对此,1,,
竞争,1.0,片所持,1,,
史前,1.0,赞语,1,,
十,1.0,应,1,,
充满,1.0,节制,1,,
连接,1.0,感兴趣,1,,
二十分钟,1.0,既定,1,,
总算,1.0,程序,1,,
混,1.0,摆,1,,
出头,1.0,片中,1,,
太牛,1.0,地带,1,,
气势,1.0,理智,1,,
保留,1.0,弹性,1,,
湮灭,1.0,显示,1,,
有过之无不及,1.0,指令,1,,
吴,1.0,个体,1,,
京戏,1.0,父,1,,
份,1.0,法间,1,,
出钱,1.0,和解,1,,
出力,1.0,妥协,1,,
大功,1.0,真诚,1,,
同传机,1.0,储备,1,,
笑,1.0,像样,1,,
出声,1.0,产能,1,,
2019.01,1.0,编,1,,
20,1.0,及格线,1,,
No.9,1.0,浮动,1,,
CBD,1.0,长路,1,,
万达,1.0,漫漫,1,,
平复,1.0,文类,1,,
心情,1.0,超拔,1,,
整理,1.0,日常,1,,
太多太多,1.0,视域,1,,
迟,1.0,近乎,1,,
粉,1.0,冷酷,1,,
刘粉,1.0,宇宙观,1,,
卧槽,1.0,箍,1,,
我特,1.0,住,1,,
胸脯,1.0,泄气,1,,
摸,1.0,想想,1,,
良心,1.0,丧失,1,,
亲朋好友,1.0,同类,1,,
太特,1.0,蜗居,1,,
第一炮,1.0,飘荡,1,,
打响,1.0,穿,1,,
参与,1.0,丑,1,,
全体人员,1.0,校服,1,,
不复,1.0,麻将,1,,
徒劳,1.0,疲,1,,
愚蠢,1.0,问,1,,
熠熠,1.0,活着,1,,
生光,1.0,主演,1,,
可太难,1.0,情商,1,,
太棒了,1.0,低,1,,
可能性,1.0,噢,1,,
开场,1.0,C,1,,
看着,1.0,补标,1,,
饱和,1.0,祖国,1,,
合情合理,1.0,走,1,,
楼上,1.0,道路,1,,
那位,1.0,编剧,1,,
煽动,1.0,视听,1,,
妄想,1.0,等同,1,,
本来,1.0,网大,1,,
大禹治水,1.0,浓烈,1,,
精卫填海,1.0,美术,1,,
后羿,1.0,灯光,1,,
射日,1.0,音效,1,,
拍个,1.0,冲击波,1,,
传统,1.0,惊天大,1,,
毁,1.0,掉,1,,
缺少,1.0,地上,1,,
踏踏实实,1.0,撞击,1,,
资金,1.0,轻柔,1,,
懂,1.0,万金油,1,,
收回,1.0,理由,1,,
万岁,1.0,有钱,1,,
话筒,1.0,拍法,1,,
交给,1.0,简陋,1,,
京,1.0,见证,1,,
学家,1.0,感到,1,,
黑前,1.0,失落,1,,
黑,1.0,逼话,1,,
安排,1.0,一度,1,,
不逊,1.0,他俩,1,,
原汁原味,1.0,弄,1,,
重工业,1.0,肤浅,1,,
冷硬,1.0,京王,1,,
风大,1.0,厉害,1,,
路数,1.0,比战,1,,
,,狼里,1,,
,,空洞,1,,
,,打动,1,,
,,悲壮,1,,
,,想吐槽,1,,
,,档里,1,,
,,正面,1,,
,,没想到,1,,
,,爆炸,1,,
,,中正,1,,
,,平和,1,,
,,好评,1,,
,,错,1,,
,,好好,1,,
,,闹,1,,
,,科,1,,
,,不科,1,,
,,夸,1,,
,,字幕,1,,
,,Weta,1,,
,,工作人员,1,,
,,名单,1,,
,,仔细,1,,
,,思考,1,,
,,洪荒,1,,
,,求求,1,,
,,苍穹,1,,
,,强上,1,,
,,二百五十,1,,
,,倍,1,,
,,那节,1,,
,,语文课,1,,
,,吐,1,,
,,你京,1,,
,,里头,1,,
,,最烂,1,,
,,恶臭,1,,
,,无非,1,,
,,只不过,1,,
,,反一,1,,
,,翻译,1,,
,,了不起,1,,
,,从来不,1,,
,,CG,1,,
,,动画,1,,
,,看得爽,1,,
,,等于,1,,
,,美,1,,
,,便宜,1,,
,,咯,1,,
,,平均,1,,
,,二点,1,,
,,二五,1,,
,,拆,1,,
,,腻子,1,,
,,原则,1,,
,,外加,1,,
,,球,1,,
,,卫兵,1,,
,,羞辱,1,,
,,骚扰,1,,
,,勉强,1,,
,,三分,1,,
,,横向,1,,
,,心目,1,,
,,中战,1,,
,,狼,1,,
,,负分,1,,
,,滚,1,,
,,鬼,1,,
,,做事,1,,
,,合乎逻辑,1,,
,,一个个,1,,
,,学,1,,
,,画虎不成反类犬,1,,
,,产物,1,,
,,里尬,1,,
,,一点儿,1,,
,,不好,1,,
,,丢掉,1,,
,,面临,1,,
,,严肃,1,,
,,庄重,1,,
,,幽默感,1,,
,,顺眼,1,,
,,站不住脚,1,,
,,其他人,1,,
,,歇斯底里,1,,
,,油腔滑调,1,,
,,恨不能,1,,
,,进,1,,
,,银幕,1,,
,,一巴掌,1,,
,,抽死,1,,
,,长着,1,,
,,一张,1,,
,,欠揍,1,,
,,自封,1,,
,,天才,1,,
,,忍受,1,,
,,新闻联播,1,,
,,煽动性,1,,
,,标语,1,,
,,这特,1,,
,,拍出,1,,
,,逊色,1,,
,,停留,1,,
,,狗血,1,,
,,伦理,1,,
,,剧,1,,
,,革命,1,,
,,英模,1,,
,,样板戏,1,,
,,陈腐,1,,
,,阶段,1,,
,,他妹,1,,
,,颤抖,1,,
,,朗诵,1,,
,,一篇,1,,
,,女,1,,
,,忍住,1,,
,,场,1,,
,,刹车,1,,
,,逃逸,1,,
,,系列,1,,
,,分泌,1,,
,,泪珠,1,,
,,扣,1,,
,,两颗,1,,
